id,code,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
4,IND,fbassets,,,,,4,4,4,5,5,4,4,4,3,3,
4,IND,fbanks,8,8,9,9,9,9,11,11,12,12,12,12,12,12,
4,IND,gdp,4.80E+11,4.90E+11,5.20E+11,6.20E+11,7.20E+11,8.30E+11,9.50E+11,1.20E+12,1.20E+12,1.40E+12,1.70E+12,1.80E+12,1.80E+12,1.90E+12,2.00E+12
4,IND,gdppc,572.059,589.357,601.506,638.145,677.669,729.001,784.36,848.391,868.602,928.978,1010.31,1063.16,1102.91,1164.34,1233.95
4,IND,insuranceass,,,,,12.0445,13.0236,14.7591,15.091,17.3945,15.9781,18.284,18.493,18.1286,17.6764,
4,IND,lerner,0.1725002,0.1644079,0.2114162,0.2484529,0.2993928,0.2760786,0.2528837,0.2508041,0.2429998,0.2539583,0.2687478,0.2784267,0.2553741,0.2405892,0.2329089
4,IND,llgdp,52.20647,53.27498,57.29554,58.83579,59.21207,60.09409,61.30141,64.52892,69.75961,71.30774,69.88307,73.45444,73.50439,73.80439,74.27991
4,IND,macap,34.15482,25.61342,22.89353,44.55021,46.78001,56.57688,71.24072,109.8937,94.24033,69.02351,86.85786,70.23557,58.73553,61.89569,65.70387
5,NPL,bankaccntadult,,,,,,,,,,,316.69862,,,,
5,NPL,bankbradult,,,,,2.6095401,2.5598705,2.6146695,3.5982545,3.5802797,4.7076595,5.1942488,7.3856933,8.4292576,8.3515761,8.4725088
5,NPL,bankcapass,,,,,,,,,,,,,,,
5,NPL,bankconc,63.93005,59.45649,55.27587,52.08041,49.95343,53.33233,42.49131,36.01175,31.13229,28.67131,26.89631,26.18222,24.32235,23.6685,22.07632
5,NPL,creditdeposit,78.67351,76.21495,69.84344,64.94398,64.6207,66.31621,69.74403,72.72398,75.31242,83.07881,88.26667,85.14368,83.42261,82.42982,82.51555
5,NPL,nim,4.128944,3.892894,3.354067,4.006841,4.001895,4.21194,3.551384,4.386502,3.725567,3.753297,4.369885,4.458776,3.666499,4.45994,3.985228
5,NPL,nplgl,,,,,,,,,,,,,,,
5,NPL,boc,2.039915,1.92669,1.806391,6.265258,2.863937,2.443882,2.083911,2.687434,2.14019,2.090879,2.49863,2.265597,2.103268,2.153965,1.936306
